"","year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1","1996",61.86,63.84,64.9,66.02,66.35,66.74,66.94,66.28,66.55,66.94,67.4,67.8
"2","1997",68.59,69.05,69.58,70.63,71.95,72.42,72.68,73.01,73.34,74,74.59,75.19
"3","1998",76.5,77.23,77.89,78.22,78.48,78.68,79.14,79.01,78.88,79.01,78.94,79.08
"4","1999",79.93,80.13,80.46,80.73,80.99,80.92,80.99,80.86,80.86,81.06,81.32,81.98
"5","2000",82.37,82.44,83.03,83.1,83.23,83.5,84.29,84.35,84.68,85.41,85.94,86.07
"6","2001",87.06,87.32,87.72,88.31,88.84,89.04,89.23,89.3,89.5,89.56,89.56,89.69
"7","2002",90.75,91.28,91.54,92.33,92.53,92.46,92.14,91.74,91.87,92.33,92.27,92.14
"8","2003",93.06,93.32,93.52,93.39,93.19,92.86,92.99,92.99,93.26,93.45,93.39,93.26
"9","2004",93.65,93.85,94.18,94.77,96.62,96.95,96.69,96.62,96.82,97.15,97.54,97.74
"10","2005",97.54,98.14,98.73,99.19,99.39,100.05,100.45,100.71,101.57,101.5,101.43,101.3
"11","2006",102.08,102.6,102.71,103.44,104,104.48,104.94,105.7,105.45,105.34,106.15,106.45
"12","2007",107.18,107.34,108.49,109.26,110.14,110.75,111.81,112.19,113.37,114.54,115.98,116.82
"13","2008",119.26,119.7,120.68,121.91,122.65,123.45,124.34,124.66,125.62,126.08,125.81,125.61
"14","2009",124.85,124.33,123.75,123.01,123.05,122.81,123.85,123.74,123.52,123.42,123.11,123.26
"15","2010",123.61,123.93,125.46,126.09,126.45,126.95,127.26,127.22,128.21,128.92,129.32,129.94
"16","2011",129.91,130.78,131.84,132.9,133.42,133.22,133.96,134.33,135.08,134.97,135.07,135.26
"17","2012",136.01,136.58,137.99,138.6,138.89,139.09,139.51,139.96,140.56,140.67,140.22,140.18
"18","2013",141.09,142.03,143.22,143.35,143.92,144.73,145.02,144.94,144.21,143.75,143.1,143.05
"19","2014",143.31,143.64,144.23,144.5,144.83,145.25,145,144.68,144.52,144.43,143.12,143.13
"20","2015",142.55,143.3,144.24,145.08,145.6,145.68,145.2,144.91,144.06,144.39,143.9,142.89
"21","2016",142.66,143.82,144.91,145.03,145.58,146.29,146.3,146.51,146.57,145.89,145.84,146.25
"22","2017",146.65,148.76,149.31,150.18,150.69,150.89,152.05,152.68,152.34,0,0,0
