Sex,Year,0,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 and older
Men,1970,10315,39493,51950,51417,53084,53787,47058,55210,50153,49013,33206,23681,28752,25729,21181,13493,8131,4307,2004
Men,1971,11008,40589,51387,52276,53190,56042,45176,56373,49844,51390,35374,24438,27382,25990,21609,14007,8160,4418,2034
Men,1972,11149,42371,50441,53196,53286,57535,45007,56006,50272,52129,38418,26349,25257,26202,21893,14812,8200,4487,2093
Men,1973,10889,43778,49961,53545,53861,58084,47523,53213,51596,51419,41775,28161,23762,26409,21804,15595,8449,4441,2176
Men,1974,10757,44504,50093,53287,54508,57978,51560,49706,53392,50179,44540,29831,22844,26525,21759,16147,8848,4406,2226
Men,1975,10877,44778,50826,52456,55127,58244,55310,46561,54381,49087,47241,31732,22132,26205,21963,16458,9176,4428,2272
Men,1976,10929,44601,52426,51348,55631,58850,57584,44378,54913,48495,49305,33680,22736,24867,22176,16725,9470,4411,2315
Men,1977,11079,44326,54237,50155,55903,59217,58757,44123,54259,48775,49847,36399,24522,22775,22343,16874,9916,4408,2393
Men,1978,11032,44416,55384,49553,55806,59620,59224,46277,51367,49941,49091,39395,26135,21357,22482,16768,10396,4523,2399
Men,1979,11028,44626,55816,49927,55368,59309,59246,49727,47952,51553,47854,41903,27528,20481,22479,16764,10751,4684,2298
Men,1980,11296,44810,56125,50997,54446,58507,59803,53198,45124,52446,46778,44383,29225,19784,22111,16886,10941,4823,2235
Men,1981,11528,45190,56216,52711,53520,57930,60492,55578,43141,53007,46258,46263,31010,20298,20937,16969,11138,4960,2206
Men,1982,11713,45589,56256,54670,52713,57638,60769,56857,42913,52488,46525,46687,33499,21822,19105,17122,11325,5205,2209
Men,1983,11944,46175,56277,56068,52342,57349,60904,57511,44958,49671,47650,45941,36248,23166,17901,17272,11315,5563,2264
Men,1984,12154,46962,56458,56613,52744,56776,60804,57778,48344,46246,49209,44754,38512,24364,17157,17250,11286,5859,2314
Men,1985,12030,47796,56906,56943,53691,55804,60707,58387,51794,43524,50034,43795,40664,25811,16505,16911,11307,5998,2375
Men,1986,12075,48402,57497,56998,55349,54636,60811,59136,54139,41686,50626,43383,42328,27371,16880,16002,11354,6107,2464
Men,1987,12514,48844,57992,56840,57369,53513,60982,59561,55317,41553,50237,43682,42753,29715,18123,14576,11492,6201,2593
Men,1988,12609,49267,58570,56670,58603,53093,60648,59825,55871,43615,47719,44831,42077,32232,19332,13659,11639,6222,2797
Men,1989,12391,49458,59358,56685,57604,54229,59711,59913,56136,46897,44515,46339,41064,34118,20445,13163,11675,6278,2986
Men,1990,11861,49477,59826,56787,55920,55654,58126,59731,56578,50077,41728,47044,40175,35859,21622,12631,11505,6354,3089
Men,1991,10542,48842,59870,56767,55057,55576,55813,59207,56840,51894,39664,47355,39563,37036,22794,12877,10890,6411,3154
Men,1992,9379,46140,59232,55917,54053,53255,52457,57572,55814,51946,38908,46370,39398,36964,24405,13734,9786,6474,3226
Men,1993,8352,42283,58079,54927,52619,51301,49027,54937,54069,50922,39962,43267,39800,36011,25963,14443,9000,6468,3223
Men,1994,7341,38315,57196,54758,51448,50656,46904,52391,52622,49735,41995,39777,40468,34767,27046,15037,8569,6361,3246
Men,1995,6883,34181,56315,54720,50818,49807,46019,49933,51344,48948,43829,36818,40447,33645,28133,15769,8154,6235,3312
Men,1996,6712,30927,54498,54504,50662,48878,46303,47563,50320,48387,44731,34618,40203,32963,28992,16557,8327,5888,3390
Men,1997,6528,28531,51757,54604,50814,48157,47082,45462,49649,47783,44931,33898,39475,32839,29165,17753,8982,5293,3542
Men,1998,6273,26818,48268,54889,51380,47859,47533,44138,48888,47511,44785,35001,37291,33216,28682,19053,9559,4912,3573
Men,1999,6164,25805,44094,54951,52263,47953,47441,43723,47785,47475,44444,37137,34661,34001,27897,20144,10063,4763,3588
Men,2000,6555,25800,40775,54190,52585,50435,50575,46850,49310,49675,46235,40740,33500,35295,27700,21590,10860,4720,3685
Men,2001,6695,25580,37720,53010,52505,50390,50160,47650,47725,49605,46395,42155,31865,35445,27340,22470,11505,4870,3600
Men,2002,6625,25665,35300,50840,52675,50275,49740,48645,46155,49555,46280,42695,31490,34995,27415,22660,12405,5295,3435
Men,2003,6670,25950,33350,47755,52960,50375,49405,49235,45165,49075,46410,42760,32720,33245,27925,22340,13370,5685,3325
Men,2004,6915,26350,32240,43865,53035,50710,49070,49195,44880,48180,46615,42600,34835,31085,28710,21785,14175,6055,3280
Men,2005,7310,26675,31880,40010,52855,50720,48755,48895,45075,46935,46590,42715,36930,29250,29185,21300,15020,6500,3220
Men,2006,7595,27250,31765,36975,51755,50540,48495,48355,45800,45405,46565,42935,38240,27955,29445,21150,15675,6975,3220
Men,2007,7890,28240,31740,34550,49680,50770,48240,47900,46755,43925,46550,42930,38785,27750,29190,21400,15910,7580,3370
Men,2008,8130,29535,32035,32645,46750,51280,48345,47645,47445,43100,46230,43155,38950,28975,27850,21975,15795,8240,3605
Men,2009,8120,30805,32640,31600,43015,51690,48840,47420,47585,43065,45665,43505,38945,31020,26235,22760,15530,8780,3840
Men,2010,8125,31635,33325,31255,39265,51800,49040,47190,47410,43550,44730,43705,39255,33010,24905,23295,15345,9300,4110
Men,2011,7909,32174,34200,31129,36356,50811,49059,46928,47009,44468,43500,43956,39709,34313,24009,23706,15437,9791,4455
Men,2012,7390,32160,35473,31068,34041,48790,49460,46666,46573,45475,42297,44195,39976,34955,24015,23759,15848,10101,4911
Men,2013,7057,31373,36920,31290,32175,45988,50069,46800,46225,46118,41623,44106,40377,35233,25218,22870,16450,10225,5426
Men,2014,6940,30362,38129,31870,31109,42412,50582,47375,46054,46275,41635,43712,40816,35374,27100,21650,17194,10195,5870
Men,2015,7103,29410,38951,32610,30818,39347,51318,48130,46058,46235,42036,42724,40967,35950,29045,20594,17740,10186,6327
Men,2016,7311,28827,39377,33544,30803,37114,51149,48927,46173,46033,42959,41524,41104,36611,30407,19965,18117,10346,6832
Women,1970,9971,37876,49478,49087,47916,49497,46066,56079,52998,56632,50066,33730,44167,43136,38386,30696,21302,12780,6995
Women,1971,10502,39037,48727,49647,47886,52323,44503,57145,52535,56975,52680,35275,41801,43634,38711,31612,21823,13038,7273
Women,1972,10525,40571,48062,50595,47863,53333,44520,56587,52898,56918,54167,39042,38475,43916,39273,32473,22212,13386,7570
Women,1973,10351,41753,47939,50793,48509,53482,46922,53581,54086,55984,55220,42884,35881,44124,39601,33211,22724,13671,7869
Women,1974,10327,42451,48227,50555,49355,53088,50306,50031,55872,54353,55849,46311,34232,44047,39938,33817,23451,13837,8216
Women,1975,10394,42645,49139,49945,49731,53253,53447,47151,56945,53066,56184,49719,33321,42996,40523,34065,24306,14075,8490
Women,1976,10483,42557,50576,48963,50145,53717,55506,45152,57499,52546,56291,52147,34843,40574,40971,34166,25017,14323,8665
Women,1977,10657,42542,52103,48088,50657,54005,56701,44973,56664,52918,56182,53379,38534,37311,41240,34517,25655,14432,8856
Women,1978,10599,42819,53129,47925,50650,54784,57222,47331,53503,54086,55260,54219,42299,34819,41346,34736,26221,14648,9044
Women,1979,10511,42968,53569,48336,50204,55399,57254,50810,49888,55722,53634,54821,45503,33193,41184,34955,26634,15025,9107
Women,1980,10613,42974,53785,49333,49473,55489,57973,54073,47030,56609,52395,55164,48645,32225,40151,35437,26815,15623,9199
Women,1981,10874,43149,53832,50794,48577,55734,58725,56323,45069,57064,51877,55270,50921,33592,37793,35940,26943,16200,9380
Women,1982,11097,43478,53916,52298,47820,55959,58874,57632,44922,56159,52153,55213,52085,37000,34666,36257,27275,16778,9502
Women,1983,11418,43985,54069,53417,47432,55693,59351,58170,47251,53042,53216,54362,52889,40445,32270,36397,27524,17359,9738
Women,1984,11725,44759,54277,53993,47734,55028,59788,58310,50835,49504,54862,52747,53434,43474,30715,36227,27752,17667,10037
Women,1985,11698,45740,54602,54234,48837,53987,59913,59083,54223,46708,55764,51467,53754,46490,29795,35235,28110,17748,10286
Women,1986,11599,46643,55056,54311,50328,52572,60270,59921,56457,44740,56318,50867,53875,48701,31080,33118,28490,17902,10613
Women,1987,11826,47282,55570,54393,51812,51365,60442,60330,57728,44590,55568,51111,53894,49947,34150,30387,28803,18113,10997
Women,1988,12116,47593,56329,54521,52750,50804,59841,60843,58315,46989,52526,52165,53079,50799,37242,28249,28971,18160,11308
Women,1989,11913,47720,57271,54640,53104,50624,58695,61041,58489,50589,48983,53749,51377,51268,40068,26840,28882,18331,11582
Women,1990,11163,47491,57948,54655,53195,50717,56959,60681,58993,53875,46092,54593,49998,51394,42802,25993,28020,18676,11885
Women,1991,9957,46540,58032,54552,53019,51191,54399,60227,59227,55784,43980,54997,49181,51240,44674,26988,26099,18961,12114
Women,1992,8885,43872,57188,53697,52154,51434,51440,58594,58073,55953,43306,53789,49016,50777,45467,29426,23692,19098,12200
Women,1993,7831,40050,55897,52731,50778,50909,49047,55930,56547,54948,44787,50209,49582,49474,45800,31810,21891,19085,12169
Women,1994,6936,36127,54783,52590,49541,49877,47684,53621,55388,53782,47366,46347,50603,47523,45831,33992,20723,18922,12246
Women,1995,6593,32326,53512,52702,48726,48768,47129,51402,54314,53254,49649,43210,50942,46040,45717,36180,20006,18307,12547
Women,1996,6375,29378,51683,52553,48385,47788,47281,49030,53628,52923,50799,40965,50997,45198,45575,37764,20803,17128,12918
Women,1997,6126,27116,49154,52559,48451,47102,47664,47077,53034,52425,51128,40327,50037,45124,45433,38640,22879,15763,13251
Women,1998,5846,25500,45733,52689,49105,46773,47708,45956,52081,52280,51012,41858,47101,45864,44631,39224,24980,14749,13437
Women,1999,5825,24442,41741,52514,50131,46577,47454,45526,50893,52188,50658,44539,43791,47140,43192,39619,26997,14136,13719
Women,2000,6125,24330,38335,50195,49435,47730,48670,46870,50345,52695,51535,48190,41875,48690,42735,40475,29455,14105,14120
Women,2001,6220,24010,35645,49215,49430,47590,48055,47450,48575,52560,51675,49750,39840,49030,42200,40605,30975,14820,13785
Women,2002,6325,24045,33400,47420,49530,47490,47595,48120,46940,52330,51480,50310,39395,48270,42430,40710,31855,16405,13155
Women,2003,6475,24465,31630,44605,49690,47710,47260,48345,46005,51565,51475,50270,41050,45535,43430,40175,32510,18075,12730
Women,2004,6645,24990,30605,41105,49665,48100,46865,48125,45665,50450,51475,49885,43790,42410,44785,39040,33115,19670,12585
Women,2005,6845,25450,30055,37785,49315,48200,46450,47530,45720,49015,51210,49890,46370,39840,45575,38330,33635,21245,12495
Women,2006,6995,26055,29730,35095,48285,48100,46050,46715,46135,47185,50980,49960,47925,37980,45970,38145,34040,22500,12870
Women,2007,7385,26750,29775,32805,46520,48265,45805,46065,46675,45525,50645,49740,48505,37630,45350,38560,34390,23390,13745
Women,2008,7695,27725,30300,30985,43830,48580,45965,45635,46885,44625,49860,49760,48500,39290,42940,39645,34165,24190,14830
Women,2009,7750,28830,30975,29935,40450,48745,46355,45205,46665,44310,48840,49755,48190,41965,40110,41075,33390,24965,15945
Women,2010,7730,29760,31630,29400,37200,48555,46565,44765,46130,44395,47495,49540,48260,44520,37690,41925,32960,25650,17055
Women,2011,7420,30509,32431,29079,34552,47523,46537,44403,45429,44908,45782,49416,48426,46179,35948,42435,32973,26256,18314
Women,2012,6984,30513,33546,29076,32286,45647,46712,44198,44817,45476,44262,49156,48280,46888,35644,42015,33625,26751,19667
Women,2013,6744,29727,34772,29540,30491,42939,47051,44387,44382,45645,43388,48440,48275,46944,37282,39833,34834,26730,21050
Women,2014,6663,28728,35878,30241,29467,39660,47266,44893,44033,45485,43106,47469,48291,46653,39948,37224,36221,26273,22392
Women,2015,6733,27912,36817,30985,29072,37144,47351,45432,43863,45130,43287,46100,48022,46766,42597,35044,37125,26124,23555
Women,2016,6750,27508,37350,31860,28939,35325,46709,45851,43821,44706,43904,44432,47813,46967,44423,33540,37756,26434,24579
