Kuu,Maakond,Pindala(m2),Arv,Pindala(m2) Kokku,Pindala(m2) Keskmine,Tehingu summa (eur) Kokku,Tehingu summa (eur) Minimaalne,Tehingu summa (eur) Maksimaalne,Pinnaühiku hind(eur /m2) Minimaalne,Pinnaühiku hind(eur /m2) Maksimaalne,Pinnaühiku hind(eur /m2) Mediaan,Pinnaühiku hind(eur /m2) Keskmine,Pinnaühiku hind(eur /m2) Standardhälve
2005-01-01,Harju maakond,"10-29,99",65,1418.8,21.83,1135773,959,124628,81.24,4499.2,716.58,766.69,614.42
2005-01-01,Harju maakond,"30-40,99",155,5431.5,35.04,4009365,639,62633,16.51,1605.99,746.18,738.23,272.33
2005-01-01,Harju maakond,"41-54,99",253,12043.8,47.6,8674474,1314,127823,29.07,2834.22,712.91,719.91,337.66
2005-01-01,Harju maakond,"55-69,99",230,14515.9,63.11,10115291,639,137410,10.63,2114,662.88,699.59,306.17
2005-01-01,Harju maakond,"70-249,99",118,10905,92.42,9952072,639,370688,3.79,2913.02,851.51,886.06,445.59
2005-01-01,Hiiu maakond,"41-54,99",1,51.2,51.2,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Hiiu maakond,"55-69,99",1,67.6,67.6,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Ida-Viru maakond,"10-29,99",11,300.3,27.3,28313,192,4793,6.97,174.94,80.18,93.39,64.6
2005-01-01,Ida-Viru maakond,"30-40,99",44,1563.3,35.53,115894,192,9587,6.01,265.56,46.78,71.91,67.07
2005-01-01,Ida-Viru maakond,"41-54,99",33,1571.9,47.63,168566,192,15978,3.96,347.82,62.2,107.56,107.45
2005-01-01,Ida-Viru maakond,"55-69,99",18,1108.7,61.59,133630,1662,17576,29.46,269.98,81.68,119,85.26
2005-01-01,Ida-Viru maakond,"70-249,99",9,678.7,75.41,71355,1278,17256,16.64,232.25,49.16,106.25,90.23
2005-01-01,Jõgeva maakond,"30-40,99",2,69.8,34.9,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Jõgeva maakond,"41-54,99",5,232.3,46.46,21219,3132,5752,60.07,129.55,95.8,92.23,26.3
2005-01-01,Jõgeva maakond,"55-69,99",5,312.6,62.52,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Jõgeva maakond,"70-249,99",5,379.4,75.88,20452,2876,7030,37.4,91.42,46.31,53.71,21.97
2005-01-01,Järva maakond,"10-29,99",1,26.6,26.6,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Järva maakond,"30-40,99",1,40.4,40.4,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Järva maakond,"41-54,99",3,147.5,49.17,NA,NA,NA,NA,NA,NA,NA,NA
