ID,taxid,taxid2,length,name,nuctype,Htaxid,Hname,Vfamily,Hgroup,hosttype,seq_ids,order
KF981876,1453337,1453337-1,95702,Mycobacterium phage ADLER F1725,dsDNA,1762,-,Siphoviridae,-,Prokaryote,KF981876,1
NC_023591,1327959,1327959-1,95705,Mycobacterium phage Adler,dsDNA,1762,-,Siphoviridae,-,Prokaryote,NC_023591,2
NC_002628,173824,173824-1,31007,Methanothermobacter phage psiM100,dsDNA,145261,Methanothermobacter wolfeii,Siphoviridae,Euryarchaeota,Prokaryote,NC_002628,3
NC_001902,77048,77048-1,26111,Methanobacterium phage psiM2,dsDNA,2159,-,Siphoviridae,-,Prokaryote,NC_001902,4
NC_030906,1647285,1647285-1,83324,Gordonia phage GMA6,dsDNA,410332,Gordonia malaquae,Siphoviridae,Actinobacteria,Prokaryote,NC_030906,5
NC_026606,1566993,1566993-1,71200,Arthrobacter phage vB_ArtM-ArV1,dsDNA,1667,Arthrobacter sp.,Myoviridae,Actinobacteria,Prokaryote,NC_026606,6
NC_031252,1796994,1796994-1,51290,Arthrobacter phage BarretLemon,dsDNA,1771959,Arthrobacter sp. ATCC 21022,Myoviridae,Actinobacteria,Prokaryote,NC_031252,7
NC_017983,1183239,1183239-1,43788,Salisaeta icosahedral phage 1,dsDNA,1089709,Salisaeta sp. SP9-1,-,Bacteroidetes,Prokaryote,NC_017983,8
NC_011646,491893,491893-1,34952,Abalone shriveling syndrome-associated virus,dsDNA,37770,Haliotis diversicolor aquatilis,-,Mollusca,Eukaryote,NC_011646,9
NC_031129,1815968,1815968-1,103445,Salmonella phage SJ46,dsDNA,286783,Salmonella enterica subsp. enterica serovar Indiana,Myoviridae,Gammaproteobacteria,Prokaryote,NC_031129,10
NC_005856,10678,10678-1,94800,Escherichia virus P1,dsDNA,543,Enterobacteriaceae,Myoviridae,Gammaproteobacteria,Prokaryote,NC_005856,11
AF503408,10682,10682-1,101660,Enterobacteria phage P7,dsDNA,91347,Enterobacterales,Myoviridae,Gammaproteobacteria,Prokaryote,AF503408,12
